title,skills_list
Data Analyst,"['bigquery', 'excel', 'javascript', 'power_bi', 'sql']"
Excel based Automated Core Assessment Evaluation,['excel']
"Data Analysis using R Programming , RCloud & Make a R Markdown...",['r']
Data Engineer,['sql']
Senior Data Analyst - Cox Business Planning Strategy & Analytics,"['pyspark', 'pandas', 'tableau', 'scikit-learn', 'powerpoint', 'ggplot2', 'hadoop', 'sql', 'r', 'python', 'numpy', 'alteryx']"
Carenostics : Healthcare Data Analyst,"['tableau', 'aws', 'azure', 'excel', 'looker', 'gcp', 'sql', 'qlik']"
Marketplace Analyst,"['powerpoint', 'word', 'excel', 'outlook']"
Governance Analyst,['excel']
Advanced Analyst,"['tableau', 'r', 'python', 'sas', 'snowflake', 'sql']"
Business Intelligence Analyst,"['tableau', 'looker', 'power_bi', 'sql', 'git', 'python']"
Data Analyst,"['bigquery', 'excel', 'javascript', 'power_bi', 'sql']"
Lead Data Analyst,"['c', 'excel', 'java', 'sql', 'python']"
Data Analyst,['excel']
"Sr. Data Analyst, Home and Community – Remote","['power_bi', 'azure', 'excel', 'ssis', 'snowflake', 'dax', 'ssrs', 'sql']"
Data Science Specialist with Financial Data Management,"['sap', 'sql', 'python', 'pandas', 'seaborn', 'matplotlib']"
"DATA ANALYST, On Site, Durham, NC",['spreadsheet']
Mid-level Claims Data Analyst,"['excel', 'mssql', 'ssrs', 'sql']"
Quantitative Data Analyst (Remote / Onsite Hybrid),"['c', 'powerpoint', 'excel', 'word', 'python', 'vba']"
Sr. Data Analyst,"['sas', 'sql']"
Senior Data Analyst (U.S. remote eligible),"['power_bi', 'r', 'python', 'sql']"
Senior Data Analyst,"['snowflake', 'sql']"
Sales Data Analyst,['excel']
Data & BI Analyst I - Branch Development - Full-time / Part-time,"['hadoop', 'nosql']"
Data Analyst,"['perl', 'unix', 'python', 'linux']"
Test Data Management Analyst with Delphix experience,['sql']
Business Intelligence Sales Analyst,"['excel', 'power_bi', 'tableau', 'sql']"
Data Analyst,"['c', 'ssis', 'ssrs', 'sql']"
"Senior Consultant, Organizational/Talent Effectiveness/Data Analytics","['powerpoint', 'excel']"
Data Analyst,"['excel', 'javascript', 'sql']"
Data Analyst for Jewelry Safe Sales Analysis - Google Sheet,['excel']
Senior Financial Data Analyst,"['excel', 'tableau', 'power_bi', 'sql']"
Student Success Data Analyst,"['excel', 'tableau']"
Data Engineer,"['redshift', 'airflow', 'python', 'spark', 'sql']"
Marketing Data Analyst,"['power_bi', 'python', 'sql']"
Data Analyst 2 - Remote,"['power_bi', 'tableau', 'excel', 'sql', 'word', 'visio']"
