val_accuracy	status	description	runtime
0.3744	keep	Baseline: Hardcoded predictions	0.09s
0.4648	keep	Mod 1: TfidfVectorizer(300), KMeans(30), cluster-top-skills prediction	0.09s
0.4743	keep	Mod 2: TfidfVectorizer(1000), KMeans(100)	0.13s
0.2614	keep	Mod 3: Binary CountVectorizer(1000), KMeans(150)	0.16s
0.4743	discard	reverted to Mod 2	0.13s
0.4743	keep	baseline run	0.22s
0.5499	keep	updated vectorizer and increased clusters to 150	0.16s
0.5499	keep	Initial Baseline: KMeans	0.18s
0.5132	keep	Phase 1: Ridge Regression (fixed)	0.88s
0.5132	discard	reverted to KMeans	0.86s
0.6300	keep	Phase 1: KNN (Cosine)	0.02s
0.6101	keep	Phase 1: Naive Bayes	0.19s
0.6101	discard	reverted to KNN	0.19s
0.6351	keep	Phase 1: Random Forest	0.44s (AGENT MISBEHAVIOR: altered max_features to 1000)
0.6358	keep	Phase 1: Extra Trees	1.47s (CONFOUNDED: inherited 1000 features)
0.5272	keep	Phase 1: MLP	2.56s (CONFOUNDED)
0.5272	discard	reverted to Extra Trees	2.40s (CONFOUNDED)
0.5419	keep	Phase 1: Co-occurrence	0.04s (CONFOUNDED)
0.5419	discard	reverted to Extra Trees	0.04s (CONFOUNDED)
0.6013	keep	Phase 1: Hybrid KNN+Cooc	0.06s (CONFOUNDED)
0.6013	discard	reverted to Extra Trees	0.06s (CONFOUNDED)
0.5499	keep	Phase 1: Baseline KMeans	0.16s
0.6226	keep	Phase 1: Logistic Regression	1.95s
0.6101	keep	Phase 1: Naive Bayes	1.65s
0.6226	discard	reverted to Logistic Regression	1.77s
0.6300	keep	Phase 1: KNN	0.02s
0.6535	keep	Phase 1: Random Forest	1.98s
0.6601	keep	Phase 1: Extra Trees	2.07s
0.6013	keep	Phase 1: MLP	1.81s
0.6601	discard	reverted to Extra Trees	2.03s
0.5132	keep	Phase 1: RidgeClassifier	1.88s
0.6601	discard	reverted to Extra Trees	2.25s
0.6219	keep	Phase 1: SGDClassifier	1.75s
0.6601	discard	reverted to Extra Trees	1.97s
0.0720	keep	Phase 1: Decision Tree	0.32s
0.6601	discard	reverted to Extra Trees	2.08s
0.6601	keep	Phase 2: Baseline Check	2.25s
0.5551	keep	Phase 2: K-Means Routing (k=2)	3.16s
0.6601	discard	reverted to previous	2.98s
0.6344	keep	Phase 2: Global + Cluster Experts (k=2) Soft Routing	5.44s
0.6601	discard	reverted to previous	5.08s
0.6307	keep	Phase 2: Skill Count Routing	2.97s
0.6601	discard	reverted to previous	2.89s
0.6579	keep	Phase 2: Confident Expert Routing	4.73s
0.6601	discard	reverted to previous	5.70s
0.4670	keep	Phase 2: Trigram-Aware Routing (sql) - Fixed	2.99s
0.6601	discard	reverted to previous	2.88s
0.6461	keep	Phase 2: Soft Bagging Ensemble (3 models)	5.54s
0.6601	discard	reverted to previous	5.57s
0.6373	keep	Phase 2: Target-Group Routing (High vs Low Freq Targets)	2.09s
0.6601	discard	reverted to previous	1.97s
0.6116	keep	Phase 2: GMM Soft Routing (k=2, SVD=10)	3.02s
0.6601	discard	reverted to previous	2.87s
0.6167	keep	Phase 2: Overlapping Stratified Routing (20% overlap)	3.15s
0.6601	discard	reverted to previous	3.20s
0.4449	keep	Phase 2: Meta-Routing (SQL vs Python vs Other)	3.90s
0.6601	discard	reverted to previous	3.82s
0.6601	keep	Phase 3: Baseline	2.18s
0.6505	keep	Phase 3: Binary Tfidf	2.18s
0.6601	discard	reverted to baseline
0.6278	keep	Phase 3: Bigrams	1.90s
0.6601	discard	reverted to baseline
0.6601  keep    Phase 3: Max Features 5000 2.12s
0.6601	discard	reverted to baseline
0.6454	keep	Phase 3: L1 Norm	1.88s
0.6601	discard	reverted to baseline
0.6520	keep	Phase 3: Sublinear TF	2.16s
0.6601	discard	reverted to baseline
0.5690	keep	Phase 3: Binary CountVectorizer	2.10s
0.6601	discard	reverted to baseline
0.6601	keep	Phase 3: Top 500 Targets	2.00s
0.6601	discard	reverted to baseline
0.6417	keep	Phase 3: Min DF 2	1.98s
0.6601	discard	reverted to baseline
0.6057	keep	Phase 3: English Stop Words	1.97s
0.6601	discard	reverted to baseline
0.6197	keep	Phase 3: Disable IDF	2.06s
0.6601	discard	reverted to baseline
